1-8	Acyclovir
40762-7	Coxsackievirus A antibody 1st Specimen
40763-5	Coxsackievirus B antibody IgM 1st Specimen
40764-3	Coxsackievirus B antibody IgG 2nd Specimen
40765-0	Coxsackievirus B antibody
4076-6	Trimeperidine; Urine
40766-8	Coxsackievirus B antibody IgM 1st Specimen
40767-6	Coxsackievirus B antibody IgG 2nd Specimen
40768-4	Cryptococcus species antigen
40769-2	Ethosuximide Peak
407-7	Piperacillin
40770-0	Ethosuximide Trough
40771-8	Haemophilus influenzae antigen
40772-6	Heavy Metals; Urine
40773-4	Histoplasma capsulatum antibody IgM 1st Specimen
4077-4	Trimeperidine; 24h Urine
40774-2	Histoplasma species antibody IgG 2nd Specimen
40775-9	Histoplasma capsulatum antibody IgM 1st Specimen
40776-7	Histoplasma species antigen
40778-3	Histoplasma species antibody IgG 2nd Specimen
40779-1	Mexiletine Trough
40780-9	Mexiletine Peak
40781-7	Polio virus antibody IgM 1st Specimen
4078-2	Trimethadione
40782-5	Polio virus antibody IgM 1st Specimen
40783-3	Polio virus antibody IgG 2nd Specimen
40784-1	Streptococcus agalactiae antigen
40785-8	Toxoplasma gondii antibody IgM 1st Specimen
40786-6	Toxoplasma gondii antibody IgG 2nd Specimen
40787-4	Calculus Analysis; Calculus
40788-2	Japanese Cypress IgE
40789-0	Japanese Hop IgE
4079-0	Trimethoprim
40790-8	Oil Palm IgE
40791-6	Coproporphyrin 3; 24h Urine
40792-4	Coproporphyrin 1; 24h Urine
40793-2	Alkaline Phosphatase Placental
40794-0	Alkaline Phosphatase Intestinal
40795-7	Alkaline Phosphatase Liver 2
40796-5	Alkaline Phosphatase Liver 1
40797-3	Alkaline Phosphatase Bone
40798-1	Amphetamines; Hair
40799-9	Amphetamines; Saliva
40800-5	Cannabinoids; Hair
40801-3	Cannabinoids; Saliva
40802-1	Cocaine; Saliva
40803-9	Methamphetamine; Hair
40804-7	Methamphetamine; Saliva
40805-4	Opiates; Hair
40806-2	Opiates; Saliva
40807-0	Phencyclidine; Hair
4080-8	Trimethoprim; Urine
40808-8	Phencyclidine; Saliva
40809-6	11-Deoxycortisol 1h Post XXX Challenge
40810-4	11-Deoxycortisol Baseline
40811-2	11-Deoxycorticosterone
40812-0	11-Hydroxyandrosterone/Creatinine Ratio; 24h Urine
40813-8	11-Hydroxyetiocholanolone/Creatinine Ratio; 24h Urine
40814-6	11-Ketoandrosterone/Creatinine Ratio; 24h Urine
40815-3	11-Ketoetiocholanolone/Creatinine Ratio; 24h Urine
4081-6	Trimethoprim + Sulfamethoxazole
40816-1	11-Deoxycorticosterone 1h Post XXX Challenge
40817-9	Tetrachlorodiphenylethane
40818-7	11-Deoxycorticosterone; 24h Urine
40819-5	Disialylganglioside GD1a antibody IgM
40820-3	Helicobacter pylori antibody IgA
40821-1	Helicobacter pylori antibody IgM
40822-9	HTLV 1 antibody
40823-7	HTLV 2 antibody
4082-4	Trimipramine
40824-5	von Willebrand Factor Cleaving Protease Inhibitor; Platelet Poor Plasma
40825-2	Candida species antibody IgG
40827-8	Histoplasma capsulatum antibody
40828-6	Aspergillus fumigatus antibody
40829-4	Ornithine; Blood
40830-2	Toxocara species antibody
40831-0	Adenovirus + Rotavirus antigen
4083-2	Trimipramine
40832-8	Pistachio IgE
40833-6	SOD1 gene allele 1; Blood/Tiss
40834-4	Herpes virus 8 antibody IgG
40835-1	Strawberry IgG
40836-9	Sulfonamide Crystals
40837-7	Alternaria species antibody IgG
40838-5	Argininosuccinate; CSF
40839-3	Fentanyl; Urine
4084-0	Trimipramine; Urine
40840-1	Legionella pneumophila 1 antibody
40841-9	Tomato IgE
40842-7	Galactose 1 Phosphate; Blood Filter Paper
40843-5	Chicken Meat IgE
40844-3	Light Chains Kappa Free/Lambda Ratio Ratio
40845-0	Turkey Meat IgE
40846-8	Homovanillate; CSF
40847-6	Brome IgG4
40848-4	3-Methylcrotonylglycine; 24h Urine
40849-2	Glucose 1st Specimen Post XXX Challenge; Urine
408-5	Piperacillin
40850-0	Glucose 2nd Specimen Post XXX Challenge; Urine
40851-8	Normetanephrine Free
40852-6	Leishmania species antibody IgG
40853-4	Leishmania species antibody IgG
40854-2	Chlamydia trachomatis L2 antibody IgG
40855-9	Chlamydia trachomatis L2 antibody IgA
40856-7	Chlamydia trachomatis L2 antibody IgM
4085-7	Tripelennamine
40857-5	Prealbumin; Urine
40858-3	Glucose Baseline; Capillary Blood
40859-1	SOD1 gene allele 2; Blood/Tiss
40860-9	Cytokines
40861-7	CD103 Cells/100 Cells
40862-5	Methylparaben IgE
40863-3	Norwalk virus 1 antigen
40864-1	11-Hydroxy Delta-9 Tetrahydrocannabinol
4086-5	Valproate
40865-8	11-Oxo-Androsterone; 24h Urine
40866-6	11-Oxo-Androsterone/Creatinine Ratio; 24h Urine
40867-4	11-Oxo-Etiocholanolone; 24h Urine
40868-2	11-Oxo-Etiocholanolone/Creatinine Ratio; 24h Urine
40869-0	Carnitine Esters/Carnitine Free Ratio
40870-8	Cystine Free
40871-6	ZNF9 gene mutation analysis; Blood/Tiss
40872-4	CBS gene.c.T833C; Blood/Tiss
4087-3	Valproate Free
40873-2	CBS gene.c.G919A; Blood/Tiss
40874-0	Glucose 1st Specimen
40875-7	Glucose 3rd Specimen
40876-5	AMPD1 gene.p.Q12X+AMPD1 gene.p.P48L; Blood/Tiss
40877-3	CPT2 gene.p.P50H+S113L; Blood/Tiss
40878-1	CPT2 gene.p.Q413FS+G549D; Blood/Tiss
40879-9	Chicken IgE
40880-7	CD3- CD56+ Cells/100 Cells
4088-1	Valproate Trough
40881-5	CD3- CD57+ Cells/100 Cells; Bone Marrow
40882-3	CD3- CD57+ Cells/100 Cells; Fluid
40883-1	CD19+ CD103 Cells/100 Cells; Bone Marrow
40884-9	CD19+ CD103 Cells/100 Cells
40885-6	CD19+ CD103 Cells/100 Cells; Blood
40886-4	CD19+ CD103 Cells/100 Cells; Fluid
40887-2	CD11C+ CD19+ Cells/100 Cells
40888-0	CD11C+ CD19+ Cells/100 Cells; Fluid
40889-8	CD25+ CD19+ Cells/100 Cells
40890-6	CD25+ CD19+ Cells/100 Cells; Fluid
40891-4	CD3- CD57+ Cells; Fluid
40892-2	CD3- CD16+ Cells/100 Cells; Bone Marrow
40893-0	CD3- CD16+ Cells/100 Cells
40894-8	CD3- CD16+ Cells/100 Cells; Fluid
40895-5	CD3+ CD56+ Cells; Bone Marrow
40896-3	CD3+ CD56+ Cells
40897-1	CD3+ CD56+ Cells; Fluid
40898-9	CD3+ CD4+ Cells
4089-9	Vancomycin Free
40899-7	CD3+ CD8+ Cells
40900-3	CD4 Cells/CD8 Cells
40901-1	3-Hydroxybenzoylecgonine; Mecnonium
40902-9	Streptococcus pneumoniae 12 antibody IgG 2nd Specimen
40903-7	Streptococcus pneumoniae 12 antibody IgG
40904-5	Streptococcus pneumoniae 12 antibody IgG 1st Specimen
40905-2	Streptococcus pneumoniae 26 antibody IgG
40906-0	Streptococcus pneumoniae 26 antibody IgG 1st Specimen
4090-7	Vancomycin Peak
40907-8	Streptococcus pneumoniae 26 antibody IgG 2nd Specimen
40908-6	Streptococcus pneumoniae 4 antibody IgG
40909-4	Streptococcus pneumoniae 4 antibody IgG 1st Specimen
40910-2	Streptococcus pneumoniae 4 antibody IgG 2nd Specimen
40911-0	Streptococcus pneumoniae 51 antibody IgG
40912-8	Streptococcus pneumoniae 56 antibody IgG 2nd Specimen
40913-6	Streptococcus pneumoniae 56 antibody IgG
40914-4	Streptococcus pneumoniae 56 antibody IgG 1st Specimen
4091-5	Vancomycin Random
40915-1	Streptococcus pneumoniae 57 antibody IgG
40916-9	Streptococcus pneumoniae 57 antibody IgG 1st Specimen
40917-7	Streptococcus pneumoniae 57 antibody IgG 2nd Specimen
40918-5	Streptococcus pneumoniae 68 antibody IgG 1st Specimen
40919-3	Streptococcus pneumoniae 68 antibody IgG 2nd Specimen
40920-1	Streptococcus pneumoniae 8 antibody IgG
40921-9	Streptococcus pneumoniae 8 antibody IgG 1st Specimen
40922-7	Streptococcus pneumoniae 8 antibody IgG 2nd Specimen
4092-3	Vancomycin Trough
40923-5	Streptococcus pneumoniae 9 antibody IgG
40924-3	Streptococcus pneumoniae 9 antibody IgG 1st Specimen
40925-0	Streptococcus pneumoniae 9 antibody IgG 2nd Specimen
40926-8	Streptococcus pneumoniae 68 antibody IgG
40927-6	3-Methylcrotonylglycine; Blood
40928-4	Cortisol Pre Dose Dexamethasone
40929-2	Parathyrin [PTH] Intact 10m Post Excision
409-3	Piperacillin
40930-0	PYGM gene.p.R49X+G204S; Blood/Tiss
4093-1	Verapamil
40931-8	Yersinia species antibody
40932-6	Yersinia enterocolitica O3 antibody
40933-4	Yersinia enterocolitica O5 antibody
40934-2	Yersinia enterocolitica O8 antibody
40935-9	Yersinia enterocolitica O9 antibody
40936-7	Yersinia pseudotuberculosis antibody
40937-5	Zinc
40938-3	Yersinia species antibody IgG
40939-1	Yersinia species antibody IgM
40940-9	Yersinia species antibody
40941-7	Yersinia enterocolitica antibody
40942-5	Yersinia species antibody IgM
40943-3	Yellow Jacket IgE
40944-1	Yohimbine
40945-8	Yersinia enterocolitica antibody IgA
40946-6	Yersinia enterocolitica antibody IgG
40947-4	Zinc; Hair
40948-2	Yersinia enterocolitica O3 antibody
4094-9	Verapamil
40949-0	Yersinia enterocolitica O5 antibody
40950-8	Yersinia enterocolitica O8 antibody
40951-6	Yersinia enterocolitica O9 antibody
40952-4	Yellow Jacket IgG4
40953-2	Yersinia enterocolitica O3 antibody
40954-0	Yersinia enterocolitica O8 antibody
40955-7	Yersinia enterocolitica O9 antibody
4095-6	Verapamil; Urine
40956-5	Yersinia species antibody
40957-3	Zinc; Urine
40958-1	Cryptosporidium parvum
40959-9	MUTYH gene mutation analysis; Blood/Tiss
40960-7	Parietal Cell antibody IgG
40961-5	SFTPB gene mutation analysis; Blood/Tiss
40962-3	SFTPC gene mutation analysis; Blood/Tiss
40963-1	Streptococcus pneumoniae 17 antibody IgG
4096-4	Volatile Drugs Negative; Urine
40964-9	Streptococcus pneumoniae 2 antibody IgG
40965-6	Streptococcus pneumoniae 20 antibody IgG
40966-4	Streptococcus pneumoniae 22 antibody IgG
40967-2	Streptococcus pneumoniae 34 antibody IgG
40968-0	Streptococcus pneumoniae 43 antibody IgG
40969-8	Streptococcus pneumoniae 70 antibody IgG
40970-6	VWF gene mutation analysis; Blood/Tiss
40971-4	Microorganism DNA
4097-2	Volatile Drugs Positive; Urine
40972-2	Microorganism DNA
40973-0	Streptococcus pneumoniae 54 antibody IgG
40974-8	Streptococcus pneumoniae 57 antibody IgG
40975-5	Adenovirus DNA
40976-3	Adenovirus DNA
40977-1	Adenovirus antibody IgG
40978-9	Human Metapneumovirus RNA
40979-7	Human Metapneumovirus antigen
4098-0	Warfarin
40980-5	Human Metapneumovirus antibody IgG
40982-1	Influenza virus B RNA
40983-9	Parainfluenza virus 1 antibody IgG
40984-7	Parainfluenza virus 2 antibody IgG
40985-4	Parainfluenza virus 3 antibody IgG
40986-2	Parainfluenza virus 4 antigen
40987-0	Respiratory Syncytial virus RNA
40988-8	Respiratory Syncytial virus RNA
40989-6	Respiratory Syncytial virus antibody IgG
40990-4	Rhinovirus RNA
40991-2	Rhinovirus + Enterovirus RNA
40992-0	Rhinovirus + Enterovirus antigen
40993-8	Rhinovirus antigen
40994-6	CPEO syndrome gene mutation analysis; Blood/Tiss
40995-3	Mitochondria DNA mutation analysis; Blood/Tiss
40996-1	Alternaria alternata IgE
40997-9	Honey Bee IgE
4099-8	Zimelidine
40998-7	Calcium Hydrogen Phosphate Dihydrate; Calculus
40999-5	Calcium Hydrogen Phosphate Dihydrate; 24h Urine
41000-1	Human Coronavirus RNA
41001-9	Human Coronavirus RNA
41002-7	Human Coronavirus 229E antibody IgG
41003-5	Human Coronavirus 229E RNA
4100-4	2-Oxoisocaproate; Dose
41004-3	Human Coronavirus 229E antigen
41005-0	Human Coronavirus NL63 RNA
41006-8	Human Coronavirus NL63 antibody IgG
41007-6	Human Coronavirus OC43 antigen
41008-4	Human Coronavirus OC43 antibody IgG
41009-2	Human Coronavirus OC43 RNA
410-1	Piperacillin; Isolate+Ser
41010-0	Parainfluenza virus 4 RNA
41011-8	Human Metapneumovirus antibody IgG
4101-2	2-Pyridone; Dose
41012-6	Respiratory Syncytial virus antibody IgG
41013-4	Human Coronavirus 229E antibody IgG
41014-2	Human Coronavirus NL63 antibody IgG
41015-9	Human Coronavirus OC43 antibody IgG
41016-7	Bilirubin
41017-5	Protoporphyrin; RBC
41018-3	Testosterone Bioavailable
41019-1	Beta Endorphin
4102-0	5-Fluorocytosine; Dose
41020-9	Flunitrazepam; Urine
41021-7	Cocaine; Hair
41022-5	Citrate; Urine
41023-3	Aldosterone; Urine
41024-1	Glucose 2h Post 50 g Glucose PO
41025-8	Ribonucleoprotein Extractable Nuclear antibody
41026-6	Culture
41027-4	Tau Protein/Amyloid Beta 42 Peptide Ratio; CSF
41028-2	Listeria monocytogenes O1 antibody
41029-0	Listeria monocytogenes H1 antibody
41030-8	Listeria monocytogenes O4B antibody
41031-6	Lopinavir
41032-4	Uroporphyrin; Stool
41033-2	Herpes simplex virus 1 antibody
41034-0	Herpes simplex virus 2 antibody
41035-7	Norwalk virus RNA
41036-5	Cocaine; Blood
41037-3	Cocaine; Mecnonium
4103-8	Acebutolol; Dose
41038-1	Codeine; Blood
41039-9	3-Methylcrotonylglycine
41040-7	Palmitoylcarnitine; Blood
41041-5	3-Hydroxypalmitoylcarnitine; Blood
41042-3	WFS1 gene mutation analysis; Blood/Tiss
41043-1	VHL gene mutation analysis; Blood/Tiss
41044-9	UGT1A1 gene mutation analysis; Blood/Tiss
41045-6	TYR gene mutation analysis; Blood/Tiss
4104-6	Acepromazine; Dose
41046-4	TWIST1 gene mutation analysis; Blood/Tiss
41047-2	TSC gene mutation analysis; Blood/Tiss
41048-0	TPMT gene mutation analysis; Blood/Tiss
41049-8	TNFRSF1A gene mutation analysis; Blood/Tiss
41050-6	TH gene mutation analysis; Blood/Tiss
41051-4	SPINK1 gene mutation analysis; Blood/Tiss
41052-2	SPG4 gene mutation analysis; Blood/Tiss
4105-3	Acetaminophen; Dose
41053-0	SMN1 gene mutation analysis; Blood/Tiss
41054-8	SMA@ gene mutation analysis; Blood/Tiss
41055-5	SLC26A4 gene mutation analysis; Blood/Tiss
41056-3	SLC22A18 gene mutation analysis; Blood/Tiss
41057-1	SHOX gene mutation analysis; Blood/Tiss
41058-9	SH2D1A gene mutation analysis; Blood/Tiss
41059-7	SFTPC gene mutation analysis; Blood/Tiss
41060-5	SFTPB gene mutation analysis; Blood/Tiss
4106-1	Acetazolamide; Dose
41061-3	SDHD gene mutation analysis; Blood/Tiss
41062-1	SDHB gene mutation analysis; Blood/Tiss
41063-9	RPS6KA3 gene mutation analysis; Blood/Tiss
41064-7	PYGM gene mutation analysis; Blood/Tiss
41065-4	PTPN11 gene mutation analysis; Blood/Tiss
41066-2	PRX gene mutation analysis; Blood/Tiss
41067-0	PRF1 gene mutation analysis; Amniotic Fluid
41068-8	PRF1 gene mutation analysis; Blood/Tiss
41069-6	PPT1 gene mutation analysis; Blood/Tiss
41070-4	Peripheral neuropathy gene mutation analysis; Blood/Tiss
41071-2	PARK2 gene mutation analysis; Blood/Tiss
41072-0	PANK2 gene mutation analysis; Blood/Tiss
41073-8	NR0B1 gene mutation analysis; Blood/Tiss
41074-6	NPHS1 gene mutation analysis; Fluid
41075-3	NPHS1 gene mutation analysis; Blood/Tiss
41076-1	NPDC gene mutation analysis; Blood/Tiss
41077-9	NOTCH3 gene mutation analysis; Blood/Tiss
41078-7	NIPBL gene mutation analysis; Blood/Tiss
4107-9	Acyclovir; Dose
41079-5	NEFL gene mutation analysis; Blood/Tiss
41080-3	Myotonic dystrophy gene mutation analysis; Blood/Tiss
41081-1	MUTYH gene mutation analysis; Blood/Tiss
41082-9	MTTK gene mutation analysis; Blood/Tiss
41083-7	MTM1 gene mutation analysis; Blood/Tiss
41084-5	MSH2 gene mutation analysis; Blood/Tiss
41085-2	MPZ gene mutation analysis; Blood/Tiss
41086-0	MLH1 gene mutation analysis; Blood/Tiss
4108-7	Adenine; Dose
41087-8	Mitochondrial myopathy gene mutation analysis; Blood/Tiss
41088-6	MERRF gene mutation analysis; Blood/Tiss
41089-4	MEN1 gene mutation analysis; Blood/Tiss
41090-2	MELAS gene mutation analysis; Blood/Tiss
41091-0	MEFV gene mutation analysis; Blood/Tiss
41092-8	MAPT gene mutation analysis; Blood/Tiss
41093-6	LHON syndrome gene mutation analysis; Blood/Tiss
41094-4	LAMA2 gene mutation analysis; Blood/Tiss
4109-5	Alfentanil; Dose
41095-1	L1CAM gene mutation analysis; Blood/Tiss
41096-9	KEL gene mutation analysis; Amniotic Fluid
41097-7	HADHA gene.g.G1528C mutation analysis; Blood/Tiss
41098-5	GPC3 gene mutation analysis; Blood/Tiss
41099-3	GLA gene mutation analysis; Blood/Tiss
41100-9	GJB6 gene mutation analysis; Blood/Tiss
41101-7	GJB2 gene mutation analysis; Blood/Tiss
41102-5	GJB1 gene mutation analysis; Blood/Tiss
4110-3	Alphaprodine; Dose
41103-3	Gene XXX mutation analysis; Blood/Tiss
41104-1	GBA gene mutation analysis; Blood/Tiss
41105-8	FSHD gene mutation analysis; Blood/Tiss
41106-6	FRDA gene mutation analysis; Blood/Tiss
41107-4	FMR1 gene mutation analysis; Blood/Tiss
41108-2	FGF23 gene mutation analysis; Blood/Tiss
41109-0	FGD1 gene mutation analysis; Blood/Tiss
41110-8	CSTB gene mutation analysis; Blood/Tiss
4111-1	Alprazolam; Dose
41111-6	COL5A1 gene mutation analysis; Blood/Tiss
41112-4	CMT axonal gene mutation analysis; Blood/Tiss
41113-2	CLL gene mutation analysis; Blood/Tiss
41114-0	CATCH22 syndrome gene mutation analysis; Blood/Tiss
41115-7	CARD15 gene mutation analysis; Blood/Tiss
41116-5	ATP7A gene mutation analysis
41117-3	AS+PWS gene mutation analysis; Blood/Tiss
41118-1	AR gene mutation analysis; Blood/Tiss
41119-9	APTX gene mutation analysis; Blood/Tiss
41120-7	ALDOB gene mutation analysis; Blood/Tiss
41121-5	ACADS gene mutation analysis; Blood/Tiss
41122-3	Treponema pallidum antibody
41123-1	Toxoplasma gondii HS antibody
41124-9	Toxoplasma gondii AC antibody
41125-6	Strongyloides species antibody IgG
41127-2	Salmonella gallinarum antibody
41128-0	Rabies virus antibody IgG
4112-9	Alprenolol; Dose
41129-8	Parvovirus B19 antibody IgM 1st Specimen
41130-6	Mycobacterium avium subspecies paratuberculosis antibody
41131-4	Mumps virus antibody IgM
41132-2	Measles virus antibody IgG
41133-0	Jamestown Canyon virus antibody
41134-8	Influenza virus A Neuraminidase N9 antibody
41135-5	Influenza virus A Neuraminidase N8 antibody
41136-3	Influenza virus A Neuraminidase N7 antibody
4113-7	Amantadine; Dose
41137-1	Influenza virus A Neuraminidase N6 antibody
41138-9	Influenza virus A Neuraminidase N5 antibody
41139-7	Influenza virus A Neuraminidase N4 antibody
41140-5	Influenza virus A Neuraminidase N3 antibody
41141-3	Influenza virus A Neuraminidase N2 antibody
41142-1	Influenza virus A Neuraminidase N1 antibody
41143-9	HIV 1 antibody
41144-7	HIV 1 antibody
4114-5	Amdinocillin; Dose
41145-4	HIV 1 antibody
41146-2	Herpes virus 8 antibody IgG
41147-0	Herpes virus 6 antibody IgM
41148-8	Herpes virus 6 antibody IgG
41149-6	Herpes simplex virus 1+2 antibody IgM
41150-4	Herpes simplex virus 1+2 antibody IgM
41151-2	Hepatitis B virus Little E antibody IgG
4115-2	Amikacin; Dose
41152-0	Haemophilus paragallinarum antibody
41153-8	Giardia lamblia antibody IgM
41154-6	Giardia lamblia antibody IgG
41155-3	Cytomegalovirus antibody IgM
41156-1	Coccidioides species antibody IgG
41157-9	Chlamydia trachomatis antibody IgM
41158-7	Canine Herpesvirus antibody
41159-5	Campylobacter species antibody IgG
4116-0	Amiloride; Dose
41160-3	Ascaris lumbricoides antibody IgM
41161-1	Ascaris lumbricoides antibody IgG
41162-9	Adenovirus antibody IgG
41163-7	Treponema pallidum DNA
41164-5	Uranium Depleted; Urine
41165-2	Uranium 235/Uranium 238 Ratio; 24h Urine
41166-0	Uranium Depleted/Creatinine Ratio; Urine
41167-8	Listeria monocytogenes H antibody
41168-6	Arginine; Blood
41169-4	Valine; Blood
41170-2	Phenylalanine + Tyrosine; Blood
41171-0	Collagen Crosslinked C-Telopeptide
41172-8	Yeast; Budding
41173-6	Xylose 2h Post Dose Xylose PO
41174-4	Waxy Casts; Broad
41175-1	Western Equine Encephalitis virus antibody
41176-9	Trichophyton reaction wheal 2D post dose trichophyton ID; Skin
41177-7	Trichophyton reaction wheal 1D post dose trichophyton ID; Skin
4117-8	Aminopyrine; Dose
41178-5	Mumps reaction wheal 2D post dose mumps ID; Skin
41179-3	Mumps reaction wheal 1D post mumps ID; Skin
41180-1	Candida albicans reaction wheal 2D post dose Candida albicans ID; Skin
41181-9	Candida albicans reaction wheal 1D post dose Candida albicans ID; Skin
41182-7	Histoplasma capsulatum farciminosum reaction wheal 2D post dose histoplasmin ID; Skin
41183-5	Western Equine Encephalitis virus antibody
41184-3	Warfarin
41185-0	Xylose 5h Post Dose Xylose PO
4118-6	Aminosalicylate; Dose
41186-8	Yeast
41187-6	Waxy Casts
41188-4	Xylose Post Fasting; Urine
41189-2	Xylose Post Fasting
411-9	Piperacillin + Tazobactam
41190-0	Waxy Casts
41191-8	Xylose 2h Post Dose Xylose PO; 2h Urine
41192-6	Yellow Hornet IgG4
41193-4	Whitefaced Hornet IgG4
41194-2	West Nile virus antibody
41195-9	West Nile virus antibody IgM
41196-7	West Nile virus antibody IgG
41197-5	Xylose 30m Post Dose Xylose PO
41198-3	Walnut IgE
41199-1	Voriconazole
41200-7	Voriconazole
41201-5	Voltage-Gated Calcium Channel antibody IgG
41202-3	Saccharomyces cerevisiae IgE
41203-1	Yellow Jacket IgE
41204-9	Paper Wasp IgE
41205-6	Watermelon IgG
41206-4	West Nile virus antibody
41207-2	Wheat IgE
41208-0	Viscosity + Liquefaction; Semen
41209-8	VWF gene.p.A91G; Blood/Tiss
41210-6	VWF gene.p.A53W; Blood/Tiss
41211-4	West Nile virus antibody IgG+IGM
41212-2	West Nile virus RNA
41213-0	Xanthan Gum IgE
41214-8	Volatiles; Gastric Fluid
41215-5	Yeast
41216-3	Yellow Fever virus antibody IgM
41217-1	Yellow Fever virus antibody IgG
41218-9	Xipamid; Urine
41219-7	Paper Wasp IgG
41220-5	Xanthurenate; 24h Urine
41221-3	Xanthurenate + Kynurenate; 24h Urine
41222-1	Yeast
41223-9	Waxy Casts
41224-7	West Nile virus antibody
41225-4	West Nile virus antibody
41227-0	Xanthine; 24h Urine
4122-8	Amoxapine; Dose
41228-8	Xanthine
41229-6	Yellow Jacket IgG
41230-4	Xanthine
41231-2	Xanthurenate + Kynurenate; 24h Urine
41232-0	West Nile virus antibody
41235-3	Paper Wasp IgE
4123-6	Amoxicillin; Dose
41236-1	West Nile virus antibody IgG
41237-9	Xylose 5h Post Dose Xylose PO; Urine
41238-7	Viscosity; Synovial Fluid
41239-5	Yellow Fever virus antibody
41240-3	Xanthurenate
41241-1	Viscosity
41242-9	Yeast
41243-7	Yeast
41244-5	Western Equine Encephalitis virus antibody IgG
41245-2	Viscosity; Pericardial Fluid
41246-0	Yellow Fever virus antibody 2nd Specimen
41247-8	Yellow Fever virus antibody 1st Specimen
41248-6	Xanthurenate; Urine
41249-4	Yellow Fever virus antibody
41250-2	Xylose Baseline; Urine
41251-0	Xylose 5h Post 25 g Xylose PO; Urine
41252-8	Xylose 5h Post 25 g Xylose PO
